race_id,weather,ground_status,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,datetime
200805020611,2,2,5,18,5,9,3,5,7,14,430,180,290,760,1720,1980,800,3150,5120,3600,28130,116880,2008-05-11 15:40:00
200905020611,1,1,5,18,2,3,7,13,5,10,3980,1120,380,2850,1320,14180,3920,19610,11750,39660,318540,2381660,2009-05-10 15:40:00
201005020611,1,1,5,18,7,13,1,1,2,3,260,140,340,210,1250,2040,820,400,1370,2680,3860,17180,2010-05-09 15:40:00
201105020611,1,1,5,18,7,13,8,17,1,1,460,170,180,190,720,1170,530,520,650,2160,2040,7920,2011-05-08 15:40:00
201205020611,2,1,5,18,3,5,8,17,6,12,370,170,300,1630,1210,1480,760,8070,12680,2630,72990,262580,2012-05-06 15:40:00
201305020611,1,1,5,18,4,8,8,17,6,12,3430,730,510,770,3720,21890,5290,7400,4380,56570,137530,1235600,2013-05-05 15:40:00
201405020611,1,1,5,18,5,10,1,2,1,1,190,140,1940,1600,3840,14760,4020,3350,29840,15860,188380,684020,2014-05-11 15:40:00
201505020611,1,1,5,18,4,7,5,9,6,12,640,210,260,230,1510,2800,1120,780,1260,5990,6200,36720,2015-05-10 15:40:00
201605020611,1,1,5,18,2,4,3,5,8,18,230,140,210,660,460,940,430,1990,3520,1470,11190,33030,2016-05-08 15:40:00
201705020611,2,1,5,18,8,16,7,14,3,6,580,220,950,320,2150,17290,4460,1000,6400,27730,50600,296160,2017-05-07 15:40:00
201805020611,1,1,5,18,6,11,5,9,8,17,1280,370,230,520,1890,3140,1230,3360,2180,7470,21840,129560,2018-05-06 15:40:00
201905020611,1,1,5,18,8,17,8,18,5,10,430,210,1270,750,6440,17200,3480,1840,12620,22440,97390,410680,2019-05-05 15:40:00
202005020611,1,1,5,18,6,11,2,3,3,6,2960,810,180,440,3020,4200,1570,6240,1230,11900,19620,152750,2020-05-10 15:40:00
202105020611,1,1,5,18,7,15,5,10,4,8,370,150,320,140,2880,3690,980,300,660,4960,3540,21180,2021-05-09 15:40:00
202205020611,2,1,5,18,8,18,1,1,5,10,710,260,260,4780,1190,2490,1110,48720,40660,4820,416750,1532370,2022-05-08 15:40:00